cuisines,cuisines_code
"Fast Food, Continental",1161
"Street Food, Gujarati",2341
"Biryani, Hyderabadi, Chinese, North Indian",388
"Tamil, South Indian, North Indian, Chinese",2368
"Asian, Chinese",172
"Chinese, Asian, Momos",731
"Finger Food, Continental, Seafood",1245
"North Indian, Italian, Chinese",1880
"Oriya, Bengali",2046
"Tea, Beverages, Sandwich, Fast Food",2372
"Fast Food, Beverages, Ice Cream, Juices, Sandwich",1129
"Biryani, Mughlai, Chinese, North Indian, Kebab",408
"Kerala, Chinese, North Indian",1443
"Kebab, Biryani",1421
"North Indian, Japanese",1886
"Japanese, North Indian, Italian, Korean, Mexican, Thai",1398
"Italian, Chinese, Continental, Steak",1354
"Rolls, North Indian, Chinese, Biryani",2111
"Fast Food, Chinese, North Indian, Biryani",1158
Turkish,2399
Modern Indian,1563
"Italian, Mexican, Continental, Pizza",1371
"South Indian, North Indian, Beverages",2264
"North Indian, Chinese, Kerala",1759
"Continental, North Indian, Desserts, Beverages",1020
"Cafe, Continental, Pizza, Burger, Beverages",596
Bihari,341
"Andhra, Hyderabadi, Biryani, Chinese, North Indian",81
"Pizza, American, Fast Food, Seafood",2057
"BBQ, Chinese, Japanese, Asian",217
"Italian, Biryani, Fast Food, North Indian, Rolls",1351
"Beverages, Ice Cream, Sandwich, Fast Food",316
"North Indian, Chinese, Andhra",1683
"North Indian, Chinese, Continental, Street Food",1732
"Chinese, Asian, Seafood",732
"Konkan, Mangalorean, Seafood",1481
"North Indian, Street Food, Chinese, Fast Food",2034
"North Indian, Mughlai, Chinese, Arabian, Kerala",1929
"South Indian, Fast Food, Chinese, North Indian, Street Food",2238
"Arabian, BBQ, Rolls, Chinese",113
"North Indian, Chinese, Continental, Momos",1727
"Continental, North Indian, Mughlai",1027
"Juices, Ice Cream",1413
"Chinese, Momos, Vietnamese, Thai",792
"BBQ, Continental, North Indian, Pizza, European",220
"North Indian, South Indian, Seafood",2025
"North Indian, Street Food, Desserts, Chinese",2035
"American, Asian, Continental, North Indian, South Indian, Chinese",3
"Chinese, Thai, Vietnamese",873
"North Indian, Hyderabadi, Chinese",1875
"Continental, Italian, North Indian",982
"Ice Cream, Fast Food, Burger, Pizza, Sandwich, Desserts, Beverages",1333
Lebanese,1486
"Beverages, Juices, Ice Cream, Sandwich",327
"Hyderabadi, Biryani",1306
"Australian, Continental",210
"Cafe, Continental, Salad, Italian",600
"Continental, North Indian",1000
"North Indian, Salad, Healthy Food",1961
"Street Food, Fast Food, Mithai",2339
"Desserts, Bakery, Beverages",1060
"Continental, Chinese, Thai, BBQ, Steak",941
"Bakery, Desserts, Healthy Food",239
"Seafood, South Indian",2177
"Arabian, North Indian",146
"Biryani, Fast Food, Rolls",382
"Thai, Asian",2379
"Cafe, Italian, Pizza, Chinese",664
"Asian, Beverages",168
"Continental, Biryani, Italian, North Indian, Chinese",914
"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",429
"Healthy Food, Salad",1294
"Mediterranean, Continental, North Indian, Mughlai, Salad",1531
"Bakery, Fast Food, Fast Food",250
"Andhra, South Indian, Chinese, North Indian",104
"North Indian, Chinese, Andhra, South Indian, Biryani",1687
"Kerala, Beverages",1432
"Andhra, Chettinad",67
"Andhra, South Indian, North Indian, Biryani",108
"Chinese, South Indian, Fast Food",851
"Chinese, South Indian, North Indian, Biryani",853
"Cafe, Continental, Italian, Salad",588
"Lebanese, Turkish, BBQ, Burger",1494
"Biryani, North Indian, Mughlai, Fast Food",433
"Bengali, Rolls, Chinese",287
"North Indian, South Indian, Biryani, Continental",1981
"Italian, Pizza, Burger",1384
"Fast Food, Arabian, Beverages",1120
"Steak, Continental",2315
"Cafe, Italian, Continental, European",652
"Tibetan, Chinese, Momos",2395
"American, European, Healthy Food",27
"Andhra, Biryani, North Indian",59
"North Indian, Seafood, Chinese, Biryani",1966
"Continental, Finger Food, Pizza",962
"Arabian, Continental",128
"Andhra, South Indian",99
"Beverages, Street Food, North Indian",339
"South Indian, Ice Cream",2246
"Continental, American, Mediterranean, Healthy Food",893
"Healthy Food, Beverages, Salad",1276
Mughlai,1578
"Mithai, Street Food, Fast Food",1559
"European, American",1097
"Mediterranean, Italian, Mexican",1535
"North Indian, Chinese, Biryani, Mangalorean",1712
"Continental, Pizza",1035
"North Indian, South Indian, Street Food, Chinese",2029
"Continental, Italian, North Indian, Mexican",984
"Spanish, Italian, Mediterranean",2313
"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",1053
"Continental, North Indian, Japanese, Italian",1025
"European, French, North Indian",1104
"Arabian, Lebanese, Chinese, Rolls",134
American,2
"North Indian, Biryani, Desserts",1668
"Japanese, Sushi, Asian",1399
"Rajasthani, Gujarati",2092
"Chinese, North Indian, Pizza",824
"North Indian, Chinese, Continental, South Indian",1730
"Mediterranean, European, Salad",1533
"Thai, Japanese, Korean, Burmese, Chinese",2387
Thai,2378
"Bengali, Seafood",288
"American, Continental, North Indian, South Indian",19
"European, Continental, Chinese, Thai",1103
"European, Mediterranean, North Indian",1110
"BBQ, Biryani, Continental",216
"North Indian, Chinese, Continental, South Indian, Street Food, Juices",1731
"BBQ, North Indian",223
"North Indian, European, Thai",1852
"Asian, Continental, North Indian",188
"North Indian, Chinese, South Indian, Continental",1797
"Italian, Continental, Pizza",1360
"North Indian, Italian, European, Continental",1883
"North Indian, Lucknowi",1902
"North Indian, Continental, South Indian",1845
"Chinese, Thai, Indonesian",863
"Italian, European",1361
"Italian, North Indian",1373
"Continental, Asian, Italian",902
"North Indian, Mughlai, Hyderabadi",1940
"Chinese, North Indian, Cafe",808
"Finger Food, Fast Food, Continental",1247
"Continental, Italian, Chinese",975
"North Indian, South Indian, Italian, Continental",2017
"Cafe, Continental, American, Burger",559
"Cafe, Bakery, Beverages, Burger, Continental",516
"Cafe, Burger, Continental, Pizza, Steak",535
"Cafe, American, Italian, Burger",505
"Continental, Burger, Cafe, Steak",918
"Cafe, Continental, European, Italian",576
"Cafe, Pizza, Beverages",686
"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",1390
"Cafe, American, Burger, Steak",499
"American, Cafe, Continental",9
"Cafe, Continental, American, Desserts",560
"Bakery, Cafe, Italian, Desserts",232
"North Indian, Italian, South Indian, Continental, Cafe, Salad",1885
"Cafe, Italian, Burger, American, Steak",646
"Salad, Bakery, Cafe, Sandwich, Italian, Burger",2118
"Cafe, Salad, Desserts, Pizza",692
"Cafe, Japanese",668
"Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",640
"BBQ, Continental, Burger, Wraps, Pizza, Cafe",218
"Cafe, Continental, Italian, Burger, Beverages",584
"Desserts, Cafe, Fast Food",1074
"Cafe, American, Italian, Pizza, Burger",508
"Cafe, American, Continental, Steak",501
"Cafe, Fast Food, Burger",619
"Cafe, Burger, Italian, Fast Food",539
"Cafe, Italian, Coffee",648
"Lebanese, Mediterranean, Cafe",1490
"Cafe, Bakery, Continental",517
"Cafe, Italian, Healthy Food",659
"Cafe, Tea, North Indian",707
"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",2076
"Beverages, Cafe, Juices, Fast Food",298
"Cafe, North Indian, Fast Food",683
"Cafe, Chinese",545
"Cafe, Continental, Salad",599
"Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",925
"North Indian, Thai, Japanese, Continental, Cafe",2044
"Cafe, Desserts, Beverages",610
"Continental, Cafe, Desserts, Salad, Momos",926
"Cafe, Burger",530
"Cafe, Tea, Desserts",706
"Healthy Food, North Indian, Biryani",1288
"Kebab, North Indian, Arabian, Chinese",1425
"Kerala, South Indian, Seafood, Biryani",1478
"Beverages, Juices, Fast Food",320
"Burger, Desserts, Fast Food",472
"Portuguese, African",2089
"Arabian, Mughlai, Chinese, Kebab, Fast Food",144
"Desserts, Beverages, Fast Food, Ice Cream",1067
"Biryani, Kerala, Seafood, South Indian",401
"Arabian, North Indian, Chinese, Beverages",152
"Arabian, North Indian, Beverages",147
"Biryani, Chinese, Fast Food, North Indian",365
"Biryani, Chinese, North Indian, Seafood",375
"Parsi, North Indian",2054
"European, Italian, Desserts, Salad, Juices, Steak",1107
"Thai, Asian, Indonesian",2380
"North Indian, Kebab, Fast Food",1894
"Fast Food, Biryani, Rolls",1135
"Seafood, Maharashtrian",2163
"Steak, Italian, Continental, American, Burger, BBQ, Salad",2319
"Nepalese, Tibetan, Momos",1612
"Arabian, Biryani, Rolls, Kebab",118
"Finger Food, Continental, Pizza",1243
"North Indian, Chinese, Biryani, Kebab, Juices",1711
"Healthy Food, North Indian, South Indian",1291
"Italian, Pizza, Salad",1388
"Biryani, North Indian, Arabian",413
"Pizza, Beverages",2058
"Asian, Thai, Chinese, BBQ, Momos",205
"Rolls, North Indian, Fast Food",2112
"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",57
"Cafe, Mediterranean, Bakery, Greek, Beverages",671
"Fast Food, Burger, American",1138
"Healthy Food, Sandwich",1298
"Fast Food, Bengali, Rolls",1125
"Fast Food, Pizza, Rolls, Beverages, Juices",1202
"Desserts, Cafe",1069
"Nepalese, Momos, Chinese",1611
"Japanese, Asian",1394
"American, North Indian, Chinese, Finger Food, Momos",41
"North Indian, South Indian, Maharashtrian",2021
"Biryani, Kebab, Rolls",396
"Mughlai, North Indian, Desserts",1606
"Italian, American, Chinese, Arabian, North Indian, Cafe",1343
"Continental, Mediterranean, European",989
"Italian, Bakery, Fast Food",1349
"Mithai, Street Food, North Indian",1560
"North Indian, Chinese, Fast Food, Street Food",1743
"Goan, Mangalorean, Pizza",1266
"European, North Indian, Mediterranean, Asian, Salad",1113
"Andhra, South Indian, North Indian",107
"Chinese, Continental, North Indian, Burger, Pizza",750
"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",176
"American, Continental, Steak, Salad",25
"Cafe, American, Fast Food, Coffee, Continental",503
"North Indian, Mughlai, Rolls, Fast Food",1946
"American, Continental, Fast Food, Steak",15
"North Indian, South Indian, Arabian",1974
"South Indian, North Indian, Street Food",2296
"South Indian, Street Food, Chinese, Fast Food",2308
"North Indian, Healthy Food",1871
"Rolls, Street Food",2116
North Eastern,1613
"Mediterranean, Arabian, Lebanese, Rolls",1526
"Continental, Chinese",930
"Fast Food, South Indian, Biryani",1219
"Cafe, Italian, Continental, Beverages",650
Chettinad,711
"Seafood, South Indian, Bar Food, Mangalorean, Konkan",2178
"Desserts, Fast Food",1077
"Burger, Continental, Italian, Beverages",470
"American, Mexican, Italian, Steak",37
"Chinese, Nepalese, Tibetan, Momos",796
"Chinese, Arabian, Fast Food",724
"North Indian, Chinese, European",1734
"Goan, Seafood, Konkan, Desserts",1267
"Seafood, North Indian, Chinese",2171
"Cafe, Mediterranean, Italian, Pizza, Continental",672
Asian,165
"North Indian, Mughlai, Arabian, Chinese",1920
"Seafood, South Indian, North Indian, Mangalorean, Chinese",2182
"Chinese, Continental, North Indian, Italian",753
"Juices, Fast Food, Beverages",1410
"North Indian, Chinese, South Indian, Seafood",1804
"North Indian, Chinese, Italian",1748
"Ice Cream, Bakery, Desserts",1317
"Chinese, Vietnamese, Momos, Thai",880
"Andhra, Biryani, Seafood",63
"North Indian, Chinese, South Indian, Kerala",1801
Mexican,1539
"Continental, Mexican, Lebanese",996
"Seafood, Mangalorean, Chinese",2165
"Beverages, Cafe, Desserts, Spanish, Bakery",297
"Japanese, Chinese, Tibetan, Momos",1396
"Chinese, Fast Food, Momos",770
"Pizza, Chinese, Rolls",2067
"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",191
"Chinese, Continental, North Indian, Mughlai, Steak",756
"Awadhi, Bengali, North Indian",211
"Continental, BBQ, Finger Food",908
"Chinese, Seafood",843
"Seafood, Mangalorean, North Indian, Chinese",2167
"Kerala, South Indian, North Indian, Chinese",1475
"Burger, Pizza, Momos",485
Japanese,1393
"Italian, American, Steak, Continental, BBQ, Salad",1347
"American, Finger Food",29
"North Indian, Chinese, Healthy Food",1745
"American, Pizza",45
"Seafood, Konkan, Mangalorean",2162
"Mangalorean, Seafood, Chinese, North Indian",1516
"Chinese, Thai, Seafood",869
"Fast Food, Burger, Sandwich, Pizza",1150
"Continental, Chinese, Steak",940
"Fast Food, European",1172
"Continental, Italian, Steak, American",987
"Asian, Thai",204
"Continental, Thai, North Indian",1054
"Burger, American, Italian",463
"North Indian, Continental, Chinese, Asian, Thai",1827
"Kerala, Seafood",1460
"European, Italian, Seafood, Continental",1108
"South Indian, Biryani, Mangalorean",2200
"South Indian, North Indian, Continental",2284
"Continental, Pizza, Fast Food",1038
"Chettinad, South Indian, Biryani",717
"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1285
"Continental, Chinese, Fast Food",931
"Continental, Steak",1049
"Italian, North Indian, Continental",1375
"Modern Indian, North Indian, Pizza, Continental, Beverages",1570
"North Eastern, Asian, Naga, Steak, Momos",1614
"Italian, Fast Food",1363
"Street Food, Beverages, North Indian",2327
"Mughlai, North Indian, Chinese, Biryani, Seafood",1603
"North Indian, Beverages, Fast Food",1650
"North Indian, Kashmiri",1888
"Mughlai, North Indian, Street Food",1608
"North Indian, Mithai",1913
"North Indian, Chinese, Seafood, Mangalorean",1791
"Chinese, Italian",779
"Fast Food, Tea, Beverages",1228
"Mughlai, Kebab, Chinese",1596
"Kerala, Chinese, South Indian, North Indian",1446
"Biryani, Mughlai, Fast Food",409
"Continental, Asian, North Indian, South Indian",906
"South Indian, Street Food, Beverages, Desserts",2306
"Mithai, Bakery",1548
"Korean, Chinese, Japanese",1484
"American, Continental, Salad",21
"Asian, Continental, European, North Indian",184
"American, North Indian, Chinese",39
"American, Continental, BBQ, Steak",13
"Continental, Italian, North Indian, Pizza",985
"North Indian, South Indian, Continental, Chinese",2010
"Salad, Sandwich, Tea, Coffee",2131
"Asian, North Indian, Thai",202
"Continental, BBQ, Salad",909
"Asian, Japanese, Thai",193
"Chinese, Asian, Cantonese, Tea",728
"American, BBQ",5
"Mangalorean, Konkan, Seafood, Kerala",1511
"European, Asian",1099
"Continental, Chinese, North Indian, Finger Food",938
"North Indian, Seafood",1963
"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",2251
"Continental, Chinese, Finger Food, North Indian",934
"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",194
"Spanish, Italian, Mediterranean, European, Salad",2314
"Biryani, Chinese, North Indian, South Indian",376
"Asian, Burger, Chinese, Finger Food",169
"Italian, Mediterranean",1367
"North Indian, Chinese, Continental, Italian",1723
"Finger Food, Continental",1236
"Mediterranean, Italian, Asian",1534
"Mediterranean, Continental, French, Italian",1528
"Continental, Finger Food, Pizza, North Indian",963
"Thai, Chinese, Indonesian, Asian, Momos",2382
"Continental, Italian, Burger",971
"Chinese, North Indian, Fast Food, Street Food, Desserts",814
"Malaysian, Singaporean, Thai",1503
"Japanese, Chinese, Thai",1395
"North Indian, Pizza, Chinese",1954
"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",1114
"Finger Food, Mediterranean, North Indian",1249
"North Indian, Chinese, Mediterranean",1764
"Finger Food, Continental, Asian, North Indian",1237
"North Indian, South Indian, Chinese, Juices",1999
"North Indian, Chinese, Arabian, Rolls",1696
"American, North Indian, European, Tex-Mex",42
"Asian, North Indian, Continental",200
Spanish,2312
"Thai, Continental, North Indian",2385
"North Indian, Chinese, Finger Food",1744
"Italian, Fast Food, Pizza",1365
"Steak, Mediterranean, Grill",2320
"Italian, Chinese, Continental, North Indian, Seafood, Thai",1353
"Mediterranean, American, Asian",1524
"South Indian, Chinese, Juices, Street Food",2219
"North Indian, Street Food, Fast Food",2036
"South Indian, Chinese, Sandwich",2229
"Chinese, Beverages, Street Food",737
"Bihari, North Indian, Fast Food",343
"Continental, Fast Food, Beverages, Desserts",952
"North Indian, Chinese, Kerala, Arabian",1760
"Maharashtrian, North Indian",1500
"Mediterranean, European, Healthy Food",1532
"South Indian, Chinese, Fast Food",2218
"North Indian, Continental, Finger Food",1836
"American, Finger Food, BBQ, Steak",30
"North Indian, Mediterranean, Chinese",1910
"Cafe, American, Italian, Beverages",504
"Beverages, Fast Food, Desserts",306
"Mithai, North Indian, Street Food",1553
"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",1632
"Asian, Mediterranean, North Indian, BBQ",198
"Mughlai, North Indian, Biryani, Afghan",1600
"North Indian, Italian, Finger Food, Continental",1884
"Asian, Continental, European, Mediterranean",183
"North Indian, South Indian, Continental, American, Asian",2008
"North Indian, American, Italian",1621
"North Indian, Maharashtrian, South Indian",1907
"Continental, Asian",898
"Italian, Mexican, Mediterranean, North Indian, Continental",1372
"North Indian, Continental, South Indian, Asian",1846
"Chinese, Continental, North Indian",749
"Continental, North Indian, Chinese, Arabian",1008
"Cafe, Bakery, Fast Food",519
"Cafe, Street Food",701
"Cafe, Burger, Chinese, Fast Food, Beverages",532
"Cafe, Continental, American, Italian",561
"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",10
"North Indian, Continental, Italian, Cafe",1839
"Chinese, North Indian, Continental, Cafe",810
"Cafe, Tea, Beverages",703
"Bakery, Cafe",229
"Cafe, Sandwich, Beverages",695
"Cafe, Continental, Chinese",571
"Cafe, Burger, Sandwich",543
"Bakery, Desserts, Cafe, Italian, Pizza",237
"Rolls, Sandwich",2115
"North Indian, Chinese, Fast Food, Beverages, Desserts",1738
"Mughlai, North Indian, Biryani",1599
"Healthy Food, South Indian, Fast Food, North Indian, Beverages",1301
"North Indian, Chinese, Biryani, Andhra",1705
"North Indian, Hyderabadi, Andhra, Chinese",1874
"Continental, Chinese, Fast Food, Rolls, Momos",933
"Pizza, Burger, Fast Food, Beverages",2063
"North Indian, Chinese, South Indian, Biryani",1796
"Arabian, Chinese, Kerala, North Indian, Biryani",124
"Biryani, North Indian, Chinese, Rolls, Beverages",425
"Biryani, Hyderabadi",384
"Hyderabadi, North Indian, Chinese, Biryani",1314
"Bengali, Chinese, North Indian",271
"Chinese, South Indian, Andhra, North Indian, Biryani",850
"Arabian, North Indian, Chinese, Salad, Beverages",156
"Desserts, Street Food, Sandwich, Beverages",1095
"North Indian, South Indian, Chinese, Street Food, Mithai",2006
"North Indian, Chinese, Arabian, Biryani, Fast Food",1690
"Biryani, Mughlai, Chinese, Arabian",406
"Chinese, Beverages, Momos, Thai",736
"Chettinad, Chinese, South Indian",714
"North Indian, Andhra, BBQ, Seafood, Chinese",1623
"South Indian, North Indian, Kerala, Seafood",2291
"Biryani, Beverages, South Indian",355
"Street Food, Mithai, North Indian, Beverages, Desserts",2348
"Bengali, Oriya, Chinese, North Indian",286
"Mithai, Fast Food",1551
"North Indian, Fast Food, Beverages",1854
"Bakery, Fast Food, Desserts",248
"Bihari, North Indian, South Indian",344
"North Indian, Chinese, Mithai",1766
"Andhra, Chinese, South Indian",76
"Continental, North Indian, BBQ, Steak",1003
"Andhra, Biryani, South Indian",65
"North Indian, Continental, Chinese, Thai",1834
"North Indian, Gujarati",1868
"Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",1439
"Biryani, South Indian, Fast Food",452
Tibetan,2391
"Arabian, Lebanese, Mughlai, North Indian, BBQ",136
"Bengali, Seafood, Oriya, North Indian, Biryani",289
"Kerala, Seafood, Chinese",1464
"Biryani, South Indian, Chinese, North Indian, Arabian, Hyderabadi",451
"Japanese, Italian, American, Asian, North Indian, Steak",1397
"Korean, Sushi",1485
"North Indian, Mughlai, South Indian",1949
"Steak, Continental, American, Italian, Salad, Cafe",2316
"North Indian, Bihari, Rajasthani",1653
"North Indian, Juices",1887
"Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",2401
"Kebab, Mughlai, Biryani",1424
"Biryani, Hyderabadi, Andhra, North Indian",385
"Cafe, Italian, Fast Food, Desserts",657
"Andhra, South Indian, Hyderabadi",106
"North Indian, Fast Food, Burger, BBQ",1858
"Sushi, Japanese, Chinese, Thai",2365
"South Indian, Kerala, Andhra",2250
"Street Food, Burger, Beverages, Fast Food, Sandwich, Finger Food",2329
"Andhra, Hyderabadi, North Indian",82
"Arabian, Biryani, Desserts, Beverages, Salad",116
"Andhra, Biryani, Chinese, South Indian",58
"Beverages, Bubble Tea, Tea",295
Oriya,2045
"Biryani, Mughlai, Chinese, North Indian",407
"Finger Food, American, Continental, Burger, Pizza",1231
"Kerala, Biryani",1433
"Momos, Fast Food",1574
"Andhra, Biryani, Chinese",54
"Seafood, North Indian",2170
"South Indian, North Indian, Andhra",2263
"Beverages, Sandwich, Desserts",335
"Lucknowi, Biryani",1495
"Chinese, Beverages, Andhra",735
"Seafood, Biryani, Hyderabadi, North Indian",2146
"Kerala, North Indian, Chinese, Kebab",1455
"Andhra, Biryani, Beverages, Kebab",53
"Biryani, Hyderabadi, North Indian",390
"North Indian, Sandwich",1962
"North Indian, Biryani, Mughlai",1670
"South Indian, Chinese, Chettinad",2215
"Fast Food, Chinese, Burger, Hot dogs, Sandwich",1155
"North Indian, Bengali, Biryani, Mughlai",1644
"North Indian, Bengali",1643
"Arabian, North Indian, Biryani, Chinese, Seafood",149
"Fast Food, North Indian, Street Food",1200
"Andhra, Chinese, North Indian, Biryani",71
"Andhra, North Indian, Chinese, Seafood, Biryani",94
"North Indian, South Indian, Mangalorean",2022
"North Indian, Kebab, Biryani, Rolls",1892
"Andhra, North Indian, Chinese, Biryani",89
"Asian, Continental, North Indian, Italian",189
"Continental, Italian, Pizza",986
"North Indian, Pizza, Fast Food",1955
"Chinese, North Indian, Biryani, Juices",806
"North Indian, Hyderabadi",1873
"North Indian, Burger, Sandwich, Chinese",1677
"Juices, Ice Cream, Fast Food",1414
"North Indian, Mughlai, Andhra, Biryani",1919
"North Indian, Mughlai, Seafood, Chinese",1948
"Kashmiri, Cafe",1420
"North Indian, Continental, Mediterranean",1842
"Continental, Fast Food",951
"Continental, Italian, Chinese, North Indian, Momos",977
"Beverages, Juices, Ice Cream, Sandwich, Fast Food",328
"Kerala, South Indian, Seafood",1477
"Pizza, Italian, Desserts",2081
"Kerala, Chinese",1441
"Chinese, Seafood, Momos",845
"Juices, Fast Food, South Indian, Chinese",1411
"Chinese, Rolls",839
"North Indian, Biryani, Chinese, Mughlai",1664
"North Indian, Chinese, Andhra, Biryani",1684
"Biryani, Seafood, South Indian",446
"Gujarati, Fast Food",1270
"North Indian, Chinese, Continental, Biryani, Thai",1722
"North Indian, Beverages, Fast Food, Street Food",1651
"Andhra, South Indian, Fast Food",105
"American, Continental, Salad, Italian, Asian",23
"Momos, Chinese",1572
"Biryani, Mughlai, North Indian",410
"Chinese, Oriya, Bengali, North Indian",836
"North Indian, Kebab",1890
"North Indian, Chinese, Bengali, Biryani",1701
"North Indian, Bengali, Oriya",1647
"Fast Food, Sandwich, South Indian",1216
"North Indian, South Indian, Chinese, Andhra, Biryani",1983
"North Indian, Gujarati, Rajasthani",1869
"North Indian, Chinese, Seafood, Biryani",1789
"Fast Food, Continental, Desserts",1165
"Biryani, Charcoal Chicken",356
"Mediterranean, Continental, Italian, Burger",1529
"North Indian, Oriya, Chinese",1951
"Cafe, Italian, Pizza, North Indian",666
"Oriya, North Indian, Chinese",2051
"Oriya, Chinese, North Indian",2047
"South Indian, North Indian, Chinese, Biryani, Beverages",2270
"North Indian, Continental, Asian, Pizza",1821
"Continental, North Indian, Mexican",1026
"Biryani, Chinese, South Indian",377
"French, Pizza, Bakery",1260
"Healthy Food, Beverages, Fast Food",1274
"Continental, European, BBQ, Chinese, Asian",948
"American, North Indian, Salad",44
"Finger Food, American, Asian, Italian",1230
"Street Food, North Indian, Fast Food",2354
"North Indian, Chinese, Thai, Asian",1814
"Continental, Burger, BBQ",916
"Continental, North Indian, Asian, Italian",1002
"North Indian, Mediterranean, European, BBQ",1911
"Arabian, North Indian, Chinese, Fast Food",153
"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",983
"North Indian, European, Mediterranean",1849
"Modern Indian, European, Asian",1568
"North Indian, Chinese, Continental, Thai, Salad",1733
"Continental, Asian, American, North Indian, Desserts",899
"North Indian, Mughlai, Salad",1947
"Asian, Chinese, Thai, Momos",178
"Chettinad, Andhra, Kerala",712
"Rajasthani, Gujarati, North Indian, South Indian",2094
"North Indian, South Indian, Chinese, Arabian",1984
"North Indian, Arabian, Beverages",1628
"North Indian, South Indian, Thai, Chinese, Continental",2030
"Cafe, Lebanese",669
"Cafe, North Indian, Chinese",679
"Cafe, Healthy Food, Salad, Beverages",638
"Cafe, Italian, Fast Food",656
"Cafe, Continental, European, Juices",577
"Cafe, American, Burger, Sandwich, Beverages",497
"Continental, Cafe, Italian, Fast Food, Steak",927
"Cafe, Salad",691
"Cafe, European, Continental",616
"Cafe, Desserts, Continental",612
"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",580
"Cafe, Continental, Mediterranean, Beverages",589
"Cafe, Healthy Food, Salad, Beverages, Desserts",639
"Cafe, Continental, Mexican",591
"Cafe, Continental, Salad, Steak",601
"Cafe, Tea, Street Food",708
"Cafe, Beverages, Healthy Food, Juices",529
"Fast Food, Burger, Desserts, Cafe",1142
"Cafe, Fast Food, North Indian",627
"South Indian, Kerala, Chinese, North Indian",2254
"Street Food, North Indian, Mithai, Chinese, Beverages",2355
"Italian, Pizza, Beverages",1383
"Asian, Malaysian, Chinese, Thai, Momos",197
"Kerala, South Indian, Chinese",1471
"South Indian, North Indian, Street Food, Chinese",2297
"Street Food, Desserts, North Indian, Mithai, Rajasthani",2336
"South Indian, North Indian, Chinese, Juices, Ice Cream",2275
"Tea, Beverages, Street Food",2373
"Hyderabadi, Biryani, North Indian",1308
"Biryani, North Indian, South Indian, Chinese",437
"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",1440
"North Indian, Biryani, Chinese, Momos",1663
"Cafe, Continental, Burger, Salad, Healthy Food, Italian",570
"Juices, Healthy Food",1412
"North Indian, Fast Food, Biryani, Chinese",1857
"Italian, Mediterranean, European, Sandwich",1368
"Beverages, Bubble Tea, Desserts",294
"Chettinad, South Indian",716
"South Indian, Street Food, Fast Food, Desserts, Beverages",2310
"Cafe, North Indian, Pizza, Sandwich, Salad",684
"Tibetan, Chinese, Continental, Momos",2394
"North Indian, Momos, Rolls, Fast Food",1916
"Biryani, Chinese, Continental, North Indian, Kerala, South Indian",362
"Biryani, Italian, BBQ",391
"North Indian, Chinese, Pizza",1779
"Arabian, Sandwich, Rolls, Burger",163
"Kebab, Rolls",1428
"North Indian, Chinese, Fast Food, Biryani",1739
"South Indian, Kerala, Chinese",2253
"Fast Food, American, Chinese",1117
"Kerala, Chinese, Seafood, North Indian",1444
"Lucknowi, Chinese",1496
"North Indian, Chinese, Assamese",1698
"North Indian, Biryani, Awadhi, Mughlai",1658
"Italian, Pizza, Fast Food, Salad",1385
Parsi,2053
"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",143
"North Indian, Biryani, Chinese, Arabian",1661
"Kerala, North Indian, Chinese, Seafood",1457
"Assamese, North Indian, Chinese",209
"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",1050
"Cafe, Continental, Italian, Beverages, Mediterranean",582
"North Indian, Chinese, Arabian, Rolls, Juices",1697
"Biryani, Kebab, Fast Food",394
"Biryani, Hyderabadi, Kebab",389
"Rolls, Fast Food",2103
"Tibetan, Nepalese, Momos",2398
"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",2119
"Continental, Cafe, Desserts, Italian, Bakery",924
"Cafe, Desserts, Fast Food, Burger",613
"Coffee, Fast Food, Chinese, Beverages",882
"North Indian, Fast Food, Street Food, Beverages",1866
"Lebanese, Turkish",1493
"North Indian, South Indian, Bengali",1977
"Biryani, Seafood",443
"Biryani, Andhra, Chinese",347
